# ============= Format 1 ====================================== #
# 
# Each file only contain one isotope, 3 parts of info
# Simplest information, only containing excitation energy
# All energies are in "keV"
# !!! No space for individual informtaion, eg, "291 fs" won't work
  


# ==== 1. Isotope Information (Rquired) ======================= #   
Isotope: Ar
Z = 18    
N = 17    



# ==== 2. States Information (Col "Ex" requires to be filled) = #
Ex    Jpi  t1/2 
0	    3/2+	1.7756s
1184	1/2+		
1750	(5/2)+		
2603	7/2+		
2638	3/2+, 5/2+		
2983	3/2+, 5/2+		
3193	7/2-		
states_end




# ==== 3. Separation Energy (in keV) ========================== #
Sp = 2749
Sn = 0
