# ============= Format 1 ====================================== #
# 
# Each file only contain one isotope, 3 parts of info
# Simplest information, only containing excitation energy
# All energies are in "keV"
# !!! No space for individual informtaion, eg, "291 fs" won't work
  


# ==== 1. Isotope Information (Rquired) ======================= #   
Isotope: S
Z = 16    
N = 17    



# ==== 2. States Information (Col "Ex" requires to be filled) = #
Ex    Jpi  t1/2 
0     3/2+ STABLE
841   1/2+ 1170(70)fs
1967  5/2+ 94(14)fs
2313  3/2+ 117(17)fs
2868  5/2+ 12(4)fs
2934  7/2- 283000(1400)fs
2969  7/2+ 59(8)fs
3221  3/2- 26(5)fs
3780  (5/2+)
3832  5/2+ 30(8)fs
3935  3/2+ 24(7)fs
states_end




# ==== 3. Separation Energy (in keV) ========================== #
Sp = 0
Sn = 8642
